entry_ts,exit_ts,side,entry_price,exit_price,max_position_ratio,avg_position_ratio,add_count,bars_held,entry_reason,exit_reason,gross_pnl,fee,slippage_cost,net_pnl,return_on_equity,return_on_margin,max_adverse_excursion,max_favorable_excursion,entry_trend_context,exit_trend_context,entry_was_probe,entry_was_sentinel,entry_was_crash,entry_was_slow_up,hold_mode,entry_trend_direction,entry_trend_strength,entry_trend_phase,exit_trend_direction,exit_trend_phase,trend_upgrade_done,trend_exit_reason,lifecycle,runner_active
2025-06-29 19:00:00+00:00,2025-06-29 21:00:00+00:00,LONG,107592.0141,107300.1,0.08580525889992714,0.08580525889992714,1,2,REVERSE_SIGNAL,CLOSE_REVERSE_SIGNAL,-0.004656063953549271,0.0006864420711994171,0.0,-0.005342506024748688,-0.004656063953549271,-0.05426315371857965,0.0,0.0,,,0,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,,NONE,0
2025-07-02 08:00:00+00:00,2025-07-02 09:00:00+00:00,SHORT,107004.69478,107691.5,0.058102560043334965,0.058102560043334965,0,1,OPEN_SHORT_SIGNAL,CLOSE_HARD_STOP,-0.007458577703561497,0.0004648204803466797,0.0,-0.007923398183908177,-0.007458577703561497,-0.12836917509312196,0.0,0.0,EMA_FAST_LT_EMA_SLOW,,0,0,0,0,NORMAL,UP,WEAK,EARLY,UP,EARLY,0,,NONE,0
2025-07-02 22:00:00+00:00,2025-07-04 04:00:00+00:00,LONG,109424.28047999999,109195.7,0.04,0.04,0,30,UPGRADE_SLOW_LONG_TO_TREND,CLOSE_SLOW_UPTREND_BROKEN,-0.0016711499787601045,0.00032,0.0,-0.0019911499787601044,-0.0016711499787601045,-0.04177874946900261,0.0,0.0,,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,1,TREND,UP,NORMAL,CONTINUATION,NONE,NONE,1,CLOSE_SLOW_UPTREND_BROKEN,TREND,0
2025-07-04 16:00:00+00:00,2025-07-04 23:00:00+00:00,SHORT,107513.09308,108197.9,0.06,0.06,0,7,OPEN_SHORT_CRASH,CLOSE_HARD_STOP,-0.007643425376930712,0.00047999999999999996,0.0,-0.008123425376930712,-0.007643425376930712,-0.1273904229488452,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,0,CRASH,DOWN,WEAK,EARLY,NONE,NONE,0,,PROBATION,0
2025-07-07 06:00:00+00:00,2025-07-07 13:00:00+00:00,LONG,109049.60556,108300.3,0.04,0.04,0,7,OPEN_LONG_SLOW_TREND,CLOSE_HARD_STOP,-0.005496988686219277,0.00032,0.0,-0.005816988686219277,-0.005496988686219277,-0.13742471715548193,0.0,0.0,,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,1,SLOW_UP,UP,WEAK,EARLY,DOWN,REVERSAL_RISK,0,,PROBATION,0
2025-07-09 21:00:00+00:00,2025-07-12 16:00:00+00:00,LONG,110697.93516,117075.6,0.027999999999999997,0.027999999999999997,0,67,UPGRADE_SLOW_LONG_TO_TREND,CLOSE_SLOW_UPTREND_BROKEN,0.0322634049608772,0.00022399999999999997,0.0,0.0320394049608772,0.0322634049608772,1.1522644628884715,0.0,0.0,,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,1,TREND,UP,NORMAL,EARLY,NONE,NONE,1,CLOSE_SLOW_UPTREND_BROKEN,RUNNER,1
2025-07-22 08:00:00+00:00,2025-07-22 12:00:00+00:00,SHORT,117935.9081,119142.2,0.11662725284695627,0.11662725284695627,2,4,OPEN_SHORT_SIGNAL,CLOSE_HARD_STOP,-0.0238581298427353,0.0009330180227756502,0.0,-0.02479114786551095,-0.0238581298427353,-0.20456736534850095,0.0,0.0,EMA_FAST_LT_EMA_SLOW,,0,0,0,0,NORMAL,NONE,WEAK,NONE,UP,EARLY,0,,NONE,0
2025-07-22 16:00:00+00:00,2025-07-22 18:00:00+00:00,SHORT,118876.02004,119196.0,0.08367363587021828,0.08367363587021828,1,2,OPEN_SHORT_SIGNAL,CLOSE_REVERSE_SIGNAL,-0.0045045058961088605,0.0006693890869617462,0.0,-0.005173894983070607,-0.0045045058961088605,-0.05383423164610128,0.0,0.0,,,0,0,0,0,NORMAL,UP,WEAK,EARLY,UP,EARLY,0,,NONE,0
2025-07-23 01:00:00+00:00,2025-07-23 10:00:00+00:00,LONG,119611.4175,118002.1,0.04567570768296719,0.04567570768296719,2,9,OPEN_LONG_SLOW_TREND,CLOSE_HARD_STOP,-0.012290919585345287,0.00036540566146373753,0.0,-0.012656325246809024,-0.012290919585345287,-0.26909095028490737,0.0,0.0,,CLOSE_LT_EMA_FAST,0,0,0,1,SLOW_UP,UP,WEAK,EARLY,DOWN,EARLY,0,,PROBATION,0
2025-07-25 04:00:00+00:00,2025-07-25 11:00:00+00:00,SHORT,115361.62306,116277.6,0.06,0.06,0,7,OPEN_SHORT_CRASH,CLOSE_REVERSE_SIGNAL,-0.00952805880191479,0.00047999999999999996,0.0,-0.01000805880191479,-0.00952805880191479,-0.15880098003191317,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW|LOWER_HIGH_LOW,EMA_FAST_LT_EMA_SLOW,0,0,1,0,CRASH,DOWN,STRONG,EARLY,DOWN,CONTINUATION,0,,PROBATION,0
2025-07-27 06:00:00+00:00,2025-07-28 12:00:00+00:00,LONG,118281.95166,118813.4,0.04,0.04,0,30,UPGRADE_SLOW_LONG_TO_TREND,CLOSE_SLOW_UPTREND_BROKEN,0.003594450937215711,0.00032,0.0,0.0032744509372157112,0.003594450937215711,0.08986127343039278,0.0,0.0,,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,1,TREND,UP,WEAK,EARLY,NONE,NONE,1,CLOSE_SLOW_UPTREND_BROKEN,TREND,0
2025-07-30 16:00:00+00:00,2025-07-31 00:00:00+00:00,SHORT,117926.31001999999,117771.1,0.0861468069255352,0.0861468069255352,1,8,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,0.00226766149531507,0.0006891744554042816,0.0,0.0015784870399107884,0.00226766149531507,0.02632322167524124,0.0,0.0,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,0,TREND,NONE,NONE,NONE,NONE,NONE,0,CLOSE_TREND_EXIT_CONFIRMED,TREND,0
2025-07-31 02:00:00+00:00,2025-07-31 10:00:00+00:00,SHORT,118001.49498,118562.4,0.11706043407320976,0.11706043407320976,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,-0.011128636145867472,0.0009364834725856781,0.0,-0.012065119618453149,-0.011128636145867472,-0.09506744301757507,0.0,0.0,,,0,0,0,0,NORMAL,NONE,NONE,NONE,UP,EARLY,0,,NONE,0
2025-08-04 01:00:00+00:00,2025-08-05 03:00:00+00:00,LONG,114879.67134,114683.1,0.04,0.04,0,26,OPEN_LONG_SLOW_TREND,CLOSE_SLOW_UPTREND_BROKEN,-0.0013688851140126876,0.00032,0.0,-0.0016888851140126875,-0.0013688851140126876,-0.03422212785031719,0.0,0.0,,CLOSE_LT_EMA_FAST,0,0,0,1,SLOW_UP,UP,WEAK,EARLY,NONE,NONE,0,CLOSE_SLOW_UPTREND_BROKEN,PROBATION,0
2025-08-05 23:00:00+00:00,2025-08-06 02:00:00+00:00,LONG,113932.78199999999,113777.2,0.11533834859728814,0.11533834859728814,2,3,OPEN_LONG_SIGNAL,CLOSE_REVERSE_SIGNAL,-0.003150027698167274,0.0009227067887783051,0.0,-0.004072734486945579,-0.003150027698167274,-0.027311191260122984,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,,NONE,0
2025-08-08 01:00:00+00:00,2025-08-08 16:00:00+00:00,LONG,117239.84327999999,116162.1,0.04,0.04,0,15,OPEN_LONG_SLOW_TREND,CLOSE_SLOW_UPTREND_BROKEN,-0.0073541093187990195,0.00032,0.0,-0.0076741093187990194,-0.0073541093187990195,-0.18385273296997548,0.0,0.0,,CLOSE_LT_EMA_FAST,0,0,0,1,SLOW_UP,UP,NORMAL,CONTINUATION,NONE,NONE,0,CLOSE_SLOW_UPTREND_BROKEN,PROBATION,0
2025-08-10 19:00:00+00:00,2025-08-11 14:00:00+00:00,LONG,118543.60397999999,119969.9,0.027999999999999997,0.027999999999999997,0,19,UPGRADE_SLOW_LONG_TO_TREND,CLOSE_SLOW_UPTREND_BROKEN,0.006737822576532779,0.00022399999999999997,0.0,0.006513822576532779,0.006737822576532779,0.24063652059045643,0.0,0.0,,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|LOWER_HIGH_LOW,0,0,0,1,TREND,UP,WEAK,EARLY,NONE,NONE,1,CLOSE_SLOW_UPTREND_BROKEN,RUNNER,1
2025-08-13 18:00:00+00:00,2025-08-14 08:00:00+00:00,LONG,121798.95492,121742.3,0.038,0.038,0,14,UPGRADE_SLOW_LONG_TO_TREND,CLOSE_SLOW_UPTREND_BROKEN,-0.00035351484935385394,0.000304,0.0,-0.000657514849353854,-0.00035351484935385394,-0.009303022351417209,0.0,0.0,,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,0,0,0,1,TREND,UP,NORMAL,EARLY,NONE,NONE,1,CLOSE_SLOW_UPTREND_BROKEN,PROTECT_PROFIT,0
2025-08-14 13:00:00+00:00,2025-08-14 15:00:00+00:00,SHORT,118798.43556,118752.1,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.0004680421230960417,0.00047999999999999996,0.0,-1.195787690395824e-05,0.0004680421230960417,0.007800702051600696,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,0,CRASH,NONE,WEAK,NONE,NONE,NONE,0,,PROBATION,0
2025-08-15 02:00:00+00:00,2025-08-15 07:00:00+00:00,LONG,118644.42413999999,119044.1,0.1581251944601536,0.1581251944601536,2,5,OPEN_LONG_SIGNAL,CLOSE_REVERSE_SIGNAL,0.01065348389385034,0.0012650015556812289,0.0,0.00938848233816911,0.01065348389385034,0.06737372833103418,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,0,NORMAL,DOWN,WEAK,EARLY,NONE,NONE,0,,NONE,0
2025-08-18 02:00:00+00:00,2025-08-18 04:00:00+00:00,SHORT,116190.75720000001,115264.8,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_SHORT_REVERSE_CONFIRMED,0.009563141395897583,0.00047999999999999996,0.0,0.009083141395897583,0.009563141395897583,0.15938568993162638,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,0,CRASH,DOWN,STRONG,EARLY,DOWN,EARLY,0,,PROBATION,0
2025-08-19 17:00:00+00:00,2025-08-20 03:00:00+00:00,SHORT,113316.3322,113386.8,0.06,0.06,0,10,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-0.0007462415907598379,0.00047999999999999996,0.0,-0.0012262415907598378,-0.0007462415907598379,-0.012437359845997299,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,0,CRASH,DOWN,STRONG,EARLY,NONE,NONE,0,,PROBATION,0
2025-08-20 06:00:00+00:00,2025-08-20 14:00:00+00:00,SHORT,113649.06564,112632.7,0.11602657437324523,0.11602657437324523,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,0.02075255486805627,0.000928212594985962,0.0,0.019824342273070308,0.02075255486805627,0.1788603600524953,0.0,0.0,EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,0,NORMAL,NONE,WEAK,NONE,DOWN,EARLY,0,,NONE,0
