time,entry_label,hold_label,exit_label,future_best_net_roi,ambiguous
2025-06-23 02:00:00+00:00,0,0,0,0.0,0
2025-06-23 03:00:00+00:00,0,0,0,0.0,0
2025-06-23 04:00:00+00:00,0,0,0,0.0,0
2025-06-23 05:00:00+00:00,0,0,0,0.0,0
2025-06-23 06:00:00+00:00,0,0,0,0.0,0
2025-06-23 07:00:00+00:00,0,0,0,0.0,0
2025-06-23 08:00:00+00:00,0,0,0,0.0,0
2025-06-23 09:00:00+00:00,0,0,0,0.0,0
2025-06-23 10:00:00+00:00,0,0,0,0.0,0
2025-06-23 11:00:00+00:00,0,0,0,0.0,0
2025-06-23 12:00:00+00:00,2,0,0,0.17129587482077646,0
2025-06-23 13:00:00+00:00,2,0,0,0.17129587482077646,0
2025-06-23 14:00:00+00:00,2,0,2,1.4202264998325758,0
2025-06-23 15:00:00+00:00,2,2,2,1.4202264998325758,0
2025-06-23 16:00:00+00:00,2,0,2,1.4202264998325758,0
2025-06-23 17:00:00+00:00,1,1,2,1.4202264998325758,0
2025-06-23 18:00:00+00:00,1,1,0,1.4202264998325758,0
2025-06-23 19:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-23 20:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-23 21:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-23 22:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-23 23:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 00:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 01:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 02:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 03:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 04:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 05:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 06:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 07:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 08:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 09:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 10:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 11:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 12:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 13:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 14:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 15:00:00+00:00,0,1,0,1.4202264998325758,0
2025-06-24 16:00:00+00:00,0,1,0,1.4202264998325758,0
