entry_time,exit_time,side,entry_price,exit_price,entry_notional,pnl_pct_unlev,pnl_pct_equity,hold_bars,exit_reason
2026-04-27 01:00:00+00:00,2026-04-27 10:00:00+00:00,short,79264.1000,77856.1000,0.137129,0.017763,0.002436,9,time_exit
2026-04-29 01:00:00+00:00,2026-04-29 05:00:00+00:00,short,76471.0000,77224.1000,0.182483,-0.009848,-0.001797,4,stop_loss
2026-04-29 05:00:00+00:00,2026-04-29 10:00:00+00:00,short,77224.1000,77605.4000,0.187904,-0.004938,-0.000928,5,trail_stop
2026-04-29 10:00:00+00:00,2026-04-29 19:00:00+00:00,short,77605.4000,75470.1000,0.169254,0.027515,0.004657,9,time_exit
2026-04-30 09:00:00+00:00,2026-04-30 14:00:00+00:00,short,76025.8000,76370.4000,0.141978,-0.004533,-0.000644,5,trail_stop
2026-05-06 11:00:00+00:00,2026-05-06 20:00:00+00:00,short,82242.0000,81416.5000,0.144230,0.010037,0.001448,9,time_exit
2026-05-07 07:00:00+00:00,2026-05-07 16:00:00+00:00,short,81395.3000,79861.5000,0.162169,0.018844,0.003056,9,time_exit
2026-05-07 16:00:00+00:00,2026-05-07 19:00:00+00:00,short,79861.5000,80160.1000,0.124461,-0.003739,-0.000465,3,trail_stop
2026-05-13 05:00:00+00:00,2026-05-13 10:00:00+00:00,short,81200.0000,81255.4000,0.193854,-0.000682,-0.000132,5,trail_stop
2026-05-13 12:00:00+00:00,2026-05-13 18:00:00+00:00,short,80460.0000,79470.1000,0.162648,0.012303,0.002001,6,trail_stop
2026-05-14 06:00:00+00:00,2026-05-14 13:00:00+00:00,short,79771.6000,79719.4000,0.154174,0.000654,0.000101,7,trail_stop
2026-05-14 15:00:00+00:00,2026-05-14 17:00:00+00:00,short,80929.6000,81839.2000,0.140093,-0.011239,-0.001575,2,stop_loss
2026-05-14 18:00:00+00:00,2026-05-15 01:00:00+00:00,short,81620.0000,81468.7000,0.127004,0.001854,0.000235,7,trail_stop
2026-05-19 13:00:00+00:00,2026-05-19 17:00:00+00:00,short,76901.2000,76858.4000,0.152891,0.000557,0.000085,4,trail_stop
2026-05-19 17:00:00+00:00,2026-05-20 02:00:00+00:00,short,76858.4000,76787.5000,0.135968,0.000922,0.000125,9,time_exit
2026-05-20 02:00:00+00:00,2026-05-20 06:00:00+00:00,short,76787.5000,77170.3000,0.172209,-0.004985,-0.000858,4,trail_stop
2026-05-20 06:00:00+00:00,2026-05-20 15:00:00+00:00,short,77170.3000,77410.0000,0.176010,-0.003106,-0.000547,9,time_exit
2026-05-20 15:00:00+00:00,2026-05-20 20:00:00+00:00,short,77410.0000,77630.5000,0.174709,-0.002848,-0.000498,5,trail_stop
2026-05-21 09:00:00+00:00,2026-05-21 18:00:00+00:00,short,77888.0000,77831.0000,0.178373,0.000732,0.000131,9,time_exit
2026-05-21 18:00:00+00:00,2026-05-22 03:00:00+00:00,short,77831.0000,77638.2000,0.146240,0.002477,0.000362,9,time_exit
2026-05-22 03:00:00+00:00,2026-05-22 12:00:00+00:00,short,77638.2000,77394.8000,0.181504,0.003135,0.000569,9,time_exit
2026-05-22 12:00:00+00:00,2026-05-22 21:00:00+00:00,short,77394.8000,75939.5000,0.231182,0.018804,0.004347,9,time_exit
2026-05-23 21:00:00+00:00,2026-05-24 06:00:00+00:00,short,77246.9000,76780.3000,0.142869,0.006040,0.000863,9,time_exit
2026-05-29 17:00:00+00:00,2026-05-30 02:00:00+00:00,short,74022.1000,73623.6000,0.136527,0.005384,0.000735,9,time_exit
