entry_ts,exit_ts,side,entry_price,exit_price,max_position_ratio,avg_position_ratio,add_count,bars_held,entry_reason,exit_reason,gross_pnl,fee,slippage_cost,net_pnl,return_on_equity,return_on_margin,max_adverse_excursion,max_favorable_excursion,entry_trend_context,exit_trend_context,entry_was_probe,entry_was_sentinel,entry_was_crash,hold_mode,entry_trend_direction,entry_trend_strength,entry_trend_phase,exit_trend_direction,exit_trend_phase,trend_upgrade_done,trend_exit_reason,lifecycle,runner_active
2025-06-29 19:00:00+00:00,2025-06-29 21:00:00+00:00,LONG,107592.0141,107300.1,0.08580525889992714,0.08580525889992714,1,2,REVERSE_SIGNAL,CLOSE_REVERSE_SIGNAL,-0.004656063953549271,0.0006864420711994171,0.0,-0.005342506024748688,-0.004656063953549271,-0.05426315371857965,0.0,0.0,,,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,,NONE,0
2025-07-02 08:00:00+00:00,2025-07-02 09:00:00+00:00,SHORT,107004.69478,107691.5,0.058102560043334965,0.058102560043334965,0,1,OPEN_SHORT_SIGNAL,CLOSE_HARD_STOP,-0.007458577703561497,0.0004648204803466797,0.0,-0.007923398183908177,-0.007458577703561497,-0.12836917509312196,0.0,0.0,EMA_FAST_LT_EMA_SLOW,,0,0,0,NORMAL,UP,WEAK,EARLY,UP,EARLY,0,,NONE,0
2025-07-04 16:00:00+00:00,2025-07-04 23:00:00+00:00,SHORT,107513.09308,108197.9,0.06,0.06,0,7,OPEN_SHORT_CRASH,CLOSE_HARD_STOP,-0.007643425376930712,0.00047999999999999996,0.0,-0.008123425376930712,-0.007643425376930712,-0.1273904229488452,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,WEAK,EARLY,NONE,NONE,0,,PROBATION,0
2025-07-22 08:00:00+00:00,2025-07-22 12:00:00+00:00,SHORT,117935.9081,119142.2,0.11662725284695627,0.11662725284695627,2,4,OPEN_SHORT_SIGNAL,CLOSE_HARD_STOP,-0.0238581298427353,0.0009330180227756502,0.0,-0.02479114786551095,-0.0238581298427353,-0.20456736534850095,0.0,0.0,EMA_FAST_LT_EMA_SLOW,,0,0,0,NORMAL,NONE,WEAK,NONE,UP,EARLY,0,,NONE,0
2025-07-25 04:00:00+00:00,2025-07-25 11:00:00+00:00,SHORT,115361.62306,116277.6,0.06,0.06,0,7,OPEN_SHORT_CRASH,CLOSE_REVERSE_SIGNAL,-0.00952805880191479,0.00047999999999999996,0.0,-0.01000805880191479,-0.00952805880191479,-0.15880098003191317,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW|LOWER_HIGH_LOW,EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,EARLY,DOWN,CONTINUATION,0,,PROBATION,0
2025-07-30 16:00:00+00:00,2025-07-31 00:00:00+00:00,SHORT,117926.31001999999,117771.1,0.0861468069255352,0.0861468069255352,1,8,OPEN_SHORT_SIGNAL,CLOSE_TREND_EXIT_CONFIRMED,0.00226766149531507,0.0006891744554042816,0.0,0.0015784870399107884,0.00226766149531507,0.02632322167524124,0.0,0.0,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,TREND,NONE,NONE,NONE,NONE,NONE,0,CLOSE_TREND_EXIT_CONFIRMED,TREND,0
2025-07-31 02:00:00+00:00,2025-07-31 10:00:00+00:00,SHORT,118001.49498,118562.4,0.11706043407320976,0.11706043407320976,2,8,OPEN_SHORT_SIGNAL,CLOSE_MAX_HOLD_BARS,-0.011128636145867472,0.0009364834725856781,0.0,-0.012065119618453149,-0.011128636145867472,-0.09506744301757507,0.0,0.0,,,0,0,0,NORMAL,NONE,NONE,NONE,UP,EARLY,0,,NONE,0
2025-08-05 23:00:00+00:00,2025-08-06 02:00:00+00:00,LONG,113932.78199999999,113777.2,0.11533834859728814,0.11533834859728814,2,3,OPEN_LONG_SIGNAL,CLOSE_REVERSE_SIGNAL,-0.003150027698167274,0.0009227067887783051,0.0,-0.004072734486945579,-0.003150027698167274,-0.027311191260122984,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,,NONE,0
2025-08-14 13:00:00+00:00,2025-08-14 15:00:00+00:00,SHORT,118798.43556,118752.1,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.0004680421230960417,0.00047999999999999996,0.0,-1.195787690395824e-05,0.0004680421230960417,0.007800702051600696,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,NONE,WEAK,NONE,NONE,NONE,0,,PROBATION,0
2025-08-15 02:00:00+00:00,2025-08-15 07:00:00+00:00,LONG,118644.42413999999,119044.1,0.1581251944601536,0.1581251944601536,2,5,OPEN_LONG_SIGNAL,CLOSE_REVERSE_SIGNAL,0.01065348389385034,0.0012650015556812289,0.0,0.00938848233816911,0.01065348389385034,0.06737372833103418,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,DOWN,WEAK,EARLY,NONE,NONE,0,,NONE,0
